timestamp,source_device,protocol,url,action,application_name,application_category,bytes_sent,bytes_received,threat_count,malware_count,policy_name,url_category,url_super_category,ssl_cert_issuer,ssl_cert_subject,ssl_cert_validity_days,ssl_policy,ssl_action,user,department,src_ip,dst_ip,http_method,http_status,user_agent,referer,security_rule,security_device,security_action,content_type,file_name,file_type,file_size
2024-01-15 02:03:17,ZTNA-Gateway-01,HTTPS,https://admin.company.com/system,blocked,Web_App,Web_Applications,45000,30000,4,1,Security_Policy,Administration,Technology,Self_Signed,admin.company.com,0,SSL_Default,block,unknown_user,None,192.168.1.250,10.0.0.1,GET,403,curl/7.68.0,None,Admin_Access_Blocked,ZTNA,Blocked,text/html,None,None,0
2024-01-15 02:07:42,ZTNA-Gateway-01,HTTPS,https://database.company.com/backup,blocked,Web_App,Web_Applications,80000,40000,6,2,Security_Policy,Data_Exfiltration,Technology,Self_Signed,database.company.com,0,SSL_Default,block,unknown_user,None,192.168.1.250,10.0.0.1,POST,403,curl/7.68.0,None,Database_Access_Blocked,ZTNA,Blocked,application/octet-stream,backup.sql,zip,80000
2024-01-15 02:12:28,ZTNA-Gateway-01,HTTPS,https://192.168.1.1/config,blocked,Web_App,Web_Applications,35000,20000,3,0,Security_Policy,Administration,Technology,Self_Signed,192.168.1.1,0,SSL_Default,block,unknown_user,None,192.168.1.250,192.168.1.1,GET,403,curl/7.68.0,None,Internal_Config_Blocked,ZTNA,Blocked,text/html,None,None,0
2024-01-15 08:35:00,ZTNA-Gateway-01,HTTPS,https://outlook.office.com/mail,allowed,Office_365,Cloud_Applications,2048,15360,0,0,Standard_Policy,Email,Productivity,Microsoft Corporation,*.office.com,180,SSL_Default,allow,john.smith,IT,192.168.1.100,40.101.23.45,GET,200,Mozilla/5.0 (Windows NT 10.0),https://portal.office.com,None,ZTNA,None,text/html,None,None,0
2024-01-15 08:40:00,ZTNA-Gateway-01,HTTPS,https://malware.example.com/download.exe,blocked,Web_App,Web_Applications,75000,50000,8,5,Security_Policy,Malware,Technology,Self_Signed,malware.example.com,0,SSL_Default,block,attacker,None,192.168.1.200,203.0.113.45,GET,403,curl/7.68.0,None,Malware_Blocked,ZTNA,Blocked,application/x-executable,download.exe,exe,75000
2024-01-15 08:45:00,ZTNA-Gateway-01,HTTPS,https://jenkins.company.com/build,allowed,Jenkins,Development,8192,40960,0,0,Standard_Policy,Technology,Technology,DigiCert Inc,*.company.com,365,SSL_Default,allow,david.lee,Engineering,192.168.1.106,10.0.0.1,POST,200,Mozilla/5.0 (Linux),https://jenkins.company.com,None,ZTNA,None,application/json,None,None,0
2024-01-15 08:50:00,ZTNA-Gateway-01,HTTPS,https://google-analytics.com/reports,allowed,Google_Analytics,Analytics,1024,8192,0,0,Standard_Policy,Analytics,Technology,Google,*.google-analytics.com,365,SSL_Default,allow,emma.rodriguez,Marketing,192.168.1.107,142.250.185.78,GET,200,Mozilla/5.0 (Macintosh),https://analytics.google.com,None,ZTNA,None,text/html,None,None,0
2024-01-15 08:55:00,ZTNA-Gateway-01,HTTPS,https://grafana.company.com/dashboard,allowed,Grafana,Monitoring,4096,25600,0,0,Standard_Policy,Technology,Technology,DigiCert Inc,*.company.com,365,SSL_Default,allow,david.lee,Engineering,192.168.1.106,10.0.0.1,GET,200,Mozilla/5.0 (Linux),https://grafana.company.com,None,ZTNA,None,text/html,None,None,0
2024-01-15 09:00:00,ZTNA-Gateway-01,HTTPS,https://salesforce.com/leads,allowed,Salesforce,CRM,4096,25600,0,0,Standard_Policy,CRM,Business,DigiCert Inc,*.salesforce.com,365,SSL_Default,allow,james.chen,Sales,192.168.1.108,96.43.144.0,GET,200,Mozilla/5.0 (Windows NT 10.0),https://salesforce.com,None,ZTNA,None,text/html,None,None,0
2024-01-15 09:05:00,ZTNA-Gateway-01,HTTPS,https://workday.com/company,allowed,Workday,HR_Applications,2048,18432,0,0,Standard_Policy,Human_Resources,Business,DigiCert Inc,*.workday.com,365,SSL_Default,allow,alice.johnson,HR,192.168.1.101,23.32.0.0,GET,200,Mozilla/5.0 (Macintosh),https://workday.com,None,ZTNA,None,text/html,None,None,0
